#b/a normalized_frequency error_+ error_-
0.023529412 0.0          0.011267605 -0.0056338026
0.07435294  0.011267605  0.028169014 0.0056338026
0.12658824  0.0056338026 0.03943662 -0.011267605
0.176       0.03380282   0.061971832 0.01690141
0.22823529  0.2028169    0.24788733 0.16338028
0.27764705  0.51830983   0.6253521 0.4169014
0.3284706   0.7887324    0.9746479 0.6084507
0.37929413  0.90704226   1.0028169 0.8169014
0.43011764  1.0647887    1.2056338 0.92394364
0.4795294   1.3070422    1.4647887 1.143662
0.53035295  1.4535211    1.6338028 1.2732395
0.58117646  1.487324     1.6619718 1.3183099
0.632       1.5492958    1.6338028 1.4647887
0.68282354  1.7239437    1.9549296 1.5042254
0.73364705  1.6056339    1.7915493 1.4084507
0.7830588   1.7915493    1.9943662 1.5830986
0.83388233  1.684507     1.8478873 1.5267606
0.8847059   1.571831     1.7352113 1.4197183
0.9355294   1.2957747    1.2957747 1.1605633
0.9849412   0.997183     1.1549295 1.1549295
