b/a normalized_frequency error_+ error_-
0.0239852 0.011012904 0.01099699 -0.00028646284
0.07617096 0.0104240644 0.0160339624 -0.00085938848
0.12695028 0.0154928648 0.021118676 0.0042094124
0.17636293 0.082636572 0.09954584 0.071337208
0.22869988 0.29643332 0.32465788 0.25695716
0.27823588 0.53847056 0.57232092 0.51024604
0.32910272 0.66765736 0.70713352 0.63944872
0.37997752 0.8081276 0.8363362 0.7742772
0.42939016 0.87527132 0.90347992 0.84140504
0.48029283 1.0552336 1.089084 1.0326348
0.53261787 1.2521052 1.2859556 1.235196
0.5821419 1.4772172 1.50542592 1.4490086
0.63304853 1.66282128 1.69104588 1.628971
0.6839631 1.8597088 1.91048432 1.8089492
0.7347743 1.9099114 1.96068692 1.86479352
0.7855973 1.9770392 2.02217292 1.9262796
0.83487475 1.8523642 1.89748216 1.81287216
0.88691723 1.6486732 1.68816532 1.60355532
0.9360315 1.2926874 1.3378054 1.2531954
0.9864806 0.82949292 0.82949292 0.82949292
