#b/a normalized_frequency error_+ error_-
0.02538787  0.0          0.0014104373 -0.0014104373
0.077574044 0.0          0.0014104373 -0.0014104373
0.12834978  0.0          0.0014104373 -0.0014104373
0.1777151   0.0014104373 0.005641749  0.0
0.22849083  0.011283498  0.014104372  0.0098730605
0.27785614  0.028208744  0.03102962   0.02538787
0.32722145  0.043723553  0.047954865  0.039492242
0.3779972   0.06346968   0.06770099   0.060648803
0.43018335  0.090267986  0.0944993    0.086036675
0.47954866  0.13540198   0.14668547   0.12693936
0.5317348   0.1932299    0.20310296   0.18335684
0.5825106   0.27785614   0.28913963   0.26798308
0.63046545  0.38787025   0.39915374   0.37235543
0.68265164  0.5133991    0.52468264   0.5049365
0.7320169   0.59379405   0.60507756   0.58533144
0.7827927   0.67983073   0.6925247    0.66572636
0.8335684   0.67277855   0.6854725    0.6600846
0.88293374  0.58533144   0.5980254    0.57686883
0.93511987  0.4471086    0.4583921    0.43441465
0.98589563  0.20737323   0.20737323   0.20737323
