#b/a normalized_frequency error_+ error_-
0.025427667 0.011140086 0.0055142627 0.0054983255
0.07627502  0.010853217 0.016494976  0.010853217
0.12714832  0.08390923  0.100842476  0.06135016
0.1767209   0.47291178  0.50112057   0.44469503
0.22773583  0.9465328   0.99166685   0.9070325
0.27863106  1.0816481   1.1267822    1.0421559
0.32953826  1.250614    1.2788229    1.2111218
0.37898117  1.2729023   1.3123865    1.2390437
0.4297986   1.187989    1.2331151    1.2940428
0.48065794  1.2215526   1.2723365    1.2331151
0.53151923  1.260758    1.311526     1.2212578
0.5823606   1.2435459   1.2774044    1.2096953
0.6318215   1.31661     1.3448107    1.2827593
0.6826948   1.389666    1.4404417    1.3219489
0.7335282   1.3498868   1.4232296    1.2934692
0.7843935   1.4003757   1.4680768    1.3439581
0.8338264   1.3944551   1.4847232    1.3380295
0.8846598   1.3546759   1.422369     1.2982503
0.93543935  0.6886679   0.59811425   1.1230688
0.98467475  0.59811425  0.6319568    0.5698975


